QUEST_LV_0200_20150317_000001	Philipas' Солдата
QUEST_LV_0200_20150401_006108	Богиня Vakarine попросил вас использовать Вечерняя Звезда Руна доминировать демоны в Etmesta изолятор и принесите отметку печатью.
QUEST_LV_0200_20150401_006109	Дай Богиня Vakarine
QUEST_LV_0200_20150401_006110	Собрались все следы уплотнения. Дай Богиня Vakarine.
QUEST_LV_0200_20150401_006111	Здесь вы закрыть размерные трещина. Поговорите с Богиня Vakarine.
QUEST_LV_0200_20150401_006112	Защитить Богиню Vakarine
QUEST_LV_0200_20150401_006113	Вы успешно закрыли мерных трещина! Поговорите с Богиня Vakarine.
QUEST_LV_0200_20150401_006114	Kupole одра планирует позаботиться об остальных демонов. Поговорите Kupole одра.
QUEST_LV_0200_20150401_006115	С их командира потеряли, демоны пытаются выбраться из тюрьмы демонов. Победить демонов, которые пытаются сбежать.
QUEST_LV_0200_20150401_006116	Победил демонов, пытаясь вырваться. Доклад Kupole одра.
QUEST_LV_0200_20150401_006117	Kupole одра все еще есть несколько просьб к вам просьба. Поговорите Kupole одра.
QUEST_LV_0200_20150401_006118	Собрал все реликвии. Дай Kupole одра.
QUEST_LV_0200_20150401_006119	Демон Лорд ушел, но его демоны оставляют. Поговорите Kupole Медейна.
QUEST_LV_0200_20150401_006120	Kupole Медейна попросил вас победить демонов налево в 1-й изолятор для стабилизации Демон тюрьмы.
QUEST_LV_0200_20150401_006121	Победил демонов Nuaele. Поговорите Kupole Медейна.
QUEST_LV_0200_20150401_006122	Kupole Медейна кажется, что-то беспокоит ее. Поговорите Kupole Медейна.
QUEST_LV_0200_20150401_006123	Kupole Медейна попросил вас найти ожерелье, которое она потеряла в то время как борьба с демонами, в 4-й изолятор.
QUEST_LV_0200_20150401_006124	Дать Kupole Медейна
QUEST_LV_0200_20150401_006125	Извлекаются все ожерелья. Дай Kupole Медейна.
QUEST_LV_0200_20150401_006126	Похоже, Kupole Zydrone нуждается в вашей помощью. Поговорите Kupole Zydrone.
QUEST_LV_0200_20150401_006127	Победить демона пошли дикие
QUEST_LV_0200_20150401_006128	Kupole Zydrone говорит, что демоны, которые вышли из Valtruss влияния стал диким и странным. Победить демонов в Orualma.
QUEST_LV_0200_20150401_006129	Одолели дикие демоны. Доклад Kupole Zydrone.
QUEST_LV_0200_20150401_006130	Kupole Алдона чувствует жалости видя Дионисия от боли. Поговорите Kupole Алдона.
QUEST_LV_0200_20150401_006131	Собирать Дионисия' Когти
QUEST_LV_0200_20150401_006132	Kupole Алдона говорит Дионисия может восстанавливать свои силы, если вы вернуть его когти. Найти и победить демонов возле Rearda уплотнения, которые напали Дионисия и Дионисия получить' коготь обратно.
QUEST_LV_0200_20150401_006133	Дай Kupole Алдона
QUEST_LV_0200_20150401_006134	Получить всю Дионисия' когти. Отдайте их Kupole Алдона.
